Filename,ImageID,ObjectID,X,Y,Area,Perimeter,Major Axis,Minor Axis,Circularity,Aspect Ratio,Shape mode,Distance from cluster center
xy14c3.tiff,14,1,449,626,2393,240.2081528017131,87.9401901732626,38.183608337768135,0.5211672003653325,2.3030874765777254,2.0,7.39
xy14c3.tiff,14,2,812,1100,2210,183.82337649086293,71.22645321867965,39.57406234303154,0.8218653287649947,1.799826679436706,3.0,2.28
xy14c3.tiff,14,3,2190,1851,2815,205.3797256769669,75.65302772852121,47.7158042475461,0.838635271939515,1.5854920381523665,2.0,2.56
xy15c3.tiff,15,1,2471,768,2053,177.3380951166243,65.01507946380352,40.50462430176754,0.8203415992985483,1.6051273301395956,3.0,2.67
xy15c3.tiff,15,2,223,1723,2232,181.68124086713192,66.43304102659447,42.931520832859675,0.8497357289156744,1.5474187668596815,4.0,2.99
xy15c3.tiff,15,3,1360,1804,4180,248.4507934888324,87.6203583202025,61.49021647673661,0.8509526000219977,1.4249479566127663,3.0,2.8
xy16c3.tiff,16,1,536,705,2134,185.68124086713192,69.14409420810534,39.85512898725894,0.7778005028881325,1.7348857214891873,2.0,4.24
xy16c3.tiff,16,2,1523,758,2294,184.61017305526642,67.94657265928879,43.030271529565105,0.8458474001447066,1.5790412247946024,8.0,2.55
xy16c3.tiff,16,3,1122,875,2634,199.72287142747453,72.59923082640515,46.413135982059146,0.8297935066468012,1.5641957667861135,9.0,2.89
xy16c3.tiff,16,4,2210,1562,2037,180.0243866176395,69.32836502866581,37.59283765195235,0.7898383437308747,1.8441907916218527,9.0,2.57
xy18c3.tiff,18,1,2226,299,2000,168.02438661763952,56.26948252824442,45.59870050783898,0.8902156447771166,1.234015046515876,6.0,2.5
xy18c3.tiff,18,2,2326,548,2092,175.43860018001263,60.31389540455151,44.34244495996463,0.8541246136792562,1.3601842536875672,1.0,2.32
xy18c3.tiff,18,3,1526,845,2056,176.26702730475878,65.77421911296679,39.91707212391907,0.8315546830662848,1.6477716328686745,4.0,2.22
xy18c3.tiff,18,4,2299,1324,2072,169.05382386916236,53.19561004856662,49.98208500289481,0.9110655349322632,1.064293537284123,5.0,4.74
xy18c3.tiff,18,5,2434,1330,2832,204.2081528017131,74.02649716261337,48.92062470094649,0.8534084905195971,1.5131960725182882,2.0,1.73
xy18c3.tiff,18,6,1620,1926,2495,205.82337649086284,74.12625108217786,43.98401845440673,0.7401010444691722,1.6852996539871905,1.0,3.28
xy19c3.tiff,19,1,1766,329,2112,171.4386001800126,59.23663366302532,45.44973310296657,0.9029975124561668,1.3033439278691579,6.0,3.34
xy19c3.tiff,19,2,1166,1023,2613,207.1370849898476,82.05869275990905,40.849292731696345,0.7653032424655423,2.0088155087257347,9.0,3.89
xy19c3.tiff,19,3,1108,1183,2011,167.4386001800126,57.87731271231446,44.266929746451204,0.9013859107952475,1.3074616433491046,6.0,3.47
xy19c3.tiff,19,4,675,1766,2509,199.78174593052026,75.66441036681962,42.58351696092034,0.78994875135528,1.7768473758580865,2.0,2.71
xy19c3.tiff,19,5,1456,1820,2411,195.82337649086293,75.75914686948981,41.27310019902964,0.7900926198608608,1.8355574576215377,9.0,3.71
xy20c3.tiff,20,1,920,735,2090,181.63961030678925,72.70083059161948,36.74334473469328,0.7960402495168716,1.9786122117232008,1.0,2.66
xy20c3.tiff,20,2,1915,1429,2040,172.85281374238568,63.81816720497113,40.741610050417854,0.8579996772111007,1.5664124988186765,8.0,1.73
xy20c3.tiff,20,3,399,2114,1977,165.6812408671319,58.429376473152075,43.13043777336213,0.9050443390468612,1.3547132718703532,7.0,1.6
xy21c3.tiff,21,1,1041,681,1989,174.36753236814712,66.70192189192099,38.129787134426756,0.8220787157677483,1.7493389526871217,2.0,2.09
xy21c3.tiff,21,2,852,1359,2676,194.85281374238568,69.87262205210814,48.81658885279726,0.8856917718060362,1.43132946594863,5.0,3.95
xy21c3.tiff,21,3,1835,1512,2472,192.16652224137047,69.17565672955446,45.62191032411411,0.8412069834563713,1.5162814585822082,3.0,1.48
xy22c3.tiff,22,1,312,773,3734,233.48023074035518,80.98480298589905,59.09035111970381,0.8607637124008697,1.3705249918356723,8.0,3.2
xy22c3.tiff,22,2,666,1954,2116,173.68124086713192,60.82015566743299,44.34420354055578,0.881494690638555,1.3715469173284134,9.0,2.02
xy24c3.tiff,24,1,548,196,2284,195.09545442950497,73.5873868867082,40.23565067055248,0.7540699980822226,1.8289100750286875,1.0,3.85
xy24c3.tiff,24,2,1501,552,2478,200.61017305526642,73.54510737830621,43.32305445965371,0.7737581935791998,1.697597463881453,6.0,3.66
xy24c3.tiff,24,3,687,718,2203,174.5096679918781,58.65316125918132,47.83906745894463,0.9090449879149872,1.2260515176119875,10.0,2.43
xy24c3.tiff,24,4,1653,1708,2136,177.29646455628162,66.44383260579389,41.122395862103,0.8539077622228657,1.6157578179199978,8.0,3.2
xy24c3.tiff,24,5,450,1864,2338,195.2375900532359,75.64708502852373,39.746760052678354,0.7707747771977687,1.9032264498606903,8.0,3.48
xy25c3.tiff,25,1,1367,31,2539,203.3380951166243,77.42861439346694,41.98706435535132,0.7716761243801821,1.8441064071105648,2.0,2.25
xy25c3.tiff,25,2,1147,644,2280,183.8233764908628,67.31705466990975,43.31829316802159,0.8478972622552893,1.5540098592712908,9.0,1.62
xy25c3.tiff,25,3,1001,683,2216,210.5512985522207,83.15049113236762,34.91238782884527,0.6281505894134682,2.3816901765644096,9.0,6.74
xy25c3.tiff,25,4,135,1140,2149,180.26702730475878,64.1217671305899,43.17071528643515,0.831024227708549,1.4853070352238955,2.0,2.28
xy25c3.tiff,25,5,89,1169,2543,192.16652224137044,62.88430997920882,52.16214121782466,0.8653678636446412,1.2055546131936818,8.0,3.85
xy25c3.tiff,25,6,69,1458,3634,229.6223663640862,77.7341634759721,59.78187016047508,0.8660967531818662,1.3002966161364122,9.0,1.73
xy25c3.tiff,25,7,2162,1683,2451,200.7106781186548,80.73044129598547,38.82093546982149,0.7645611368952461,2.0795594005905262,3.0,2.61
xy25c3.tiff,25,8,593,1767,2137,174.99494936611663,62.40448920279849,43.70529741499672,0.8769268291670509,1.4278472609452022,1.0,2.42
xy25c3.tiff,25,9,1370,1879,2112,173.68124086713192,62.743988688338725,42.92630662328713,0.8798283490683496,1.461667532661678,9.0,1.55
xy26c3.tiff,26,1,1724,649,4635,279.5218613006978,104.81677603942371,57.02248221346021,0.7454663482811202,1.8381657895397905,2.0,2.52
xy26c3.tiff,26,2,1142,1165,2093,184.5512985522207,74.06302806174627,36.02946134591653,0.7722268213128464,2.0556240724964474,3.0,1.99
xy26c3.tiff,26,3,1764,1520,2027,182.26702730475878,69.81690170107859,37.321330953109005,0.7667387133634602,1.870696996010068,2.0,3.36
xy26c3.tiff,26,4,552,2032,2078,168.8528137423857,57.57939250488658,46.00136896013765,0.9158804800969532,1.251688673760597,10.0,2.99
xy27c3.tiff,27,1,1161,475,2433,189.48023074035527,69.69286532723139,44.758066001209386,0.8515774704489415,1.557101804294856,10.0,2.95
xy27c3.tiff,27,2,207,1096,2077,174.85281374238568,65.03500626007308,40.764465150902794,0.8536917997461739,1.5953847553089449,4.0,3.4
xy27c3.tiff,27,3,1261,1158,2161,179.92388155425118,66.33041545747676,41.663504303401645,0.8388552125025429,1.5920508024108089,10.0,2.45
xy27c3.tiff,27,4,2011,1674,2283,184.89444430272832,69.42206120083945,41.99839673067228,0.8392049794845341,1.652969317996349,9.0,1.83
xy28c3.tiff,28,1,1593,122,4355,256.5929291125633,93.31040806222526,59.576983496830046,0.8312059713525369,1.5662157193170094,9.0,2.3
xy28c3.tiff,28,2,342,457,2250,194.953318805774,78.49574657014918,36.789865170775,0.7439283621904333,2.133624198017022,3.0,3.0
xy28c3.tiff,28,3,2369,606,2446,184.26702730475878,60.681012412734745,51.52941212126489,0.9052552610382184,1.1775995478064698,5.0,2.89
xy28c3.tiff,28,4,1964,683,2082,173.095454429505,62.18674460456155,42.67488197305629,0.8732111301973676,1.4572212441928831,9.0,2.89
xy28c3.tiff,28,5,2434,1147,2733,204.75230867899742,77.81764308359034,44.78839435047766,0.8192036545052557,1.7374510565092502,4.0,3.16
xy28c3.tiff,28,6,572,1150,2207,178.71067811865467,65.16970722584817,43.19071989344537,0.8683827577081026,1.508882171601366,3.0,2.69
xy28c3.tiff,28,7,1832,1177,2332,186.02438661763958,66.86454087659035,44.79832329863976,0.8468347044619693,1.4925679345374203,4.0,3.85
xy28c3.tiff,28,8,1616,1471,2375,202.61017305526642,81.97553030423649,37.250765279221866,0.7270277419415541,2.2006401664440887,9.0,3.66
xy29c3.tiff,29,1,1316,272,2442,196.85281374238568,75.58722482370996,41.29881365964497,0.7919035137874474,1.830251722159512,2.0,2.6
xy29c3.tiff,29,2,649,1264,2603,194.65180361560903,69.51679589361626,47.8741208883333,0.8633107876858916,1.4520746199343202,9.0,2.21
xy30c3.tiff,30,1,1814,239,2112,199.78174593052026,78.70731738210613,34.36872135579788,0.6649548676215031,2.290085702266852,2.0,3.49
xy30c3.tiff,30,2,942,448,4752,283.27922061357856,98.8526411811265,63.52614384379019,0.7441437838180562,1.556093841052333,1.0,4.72
xy30c3.tiff,30,3,1024,608,2117,178.16652224137047,67.53542637897273,39.93138804185243,0.8380665685445469,1.6912867218186425,9.0,2.19
xy30c3.tiff,30,4,1393,1017,2080,189.63961030678928,77.71503652176033,34.724464928141344,0.7268002877270864,2.2380484964299234,2.0,4.1
xy30c3.tiff,30,5,1357,1703,2200,184.5096679918781,68.46522608724996,41.262948825155036,0.8120715394099425,1.6592422024262037,3.0,2.4
xy31c3.tiff,31,1,404,250,2180,188.12489168102783,71.18682609779769,40.048790400303375,0.7740585852729912,1.7775025259504078,3.0,3.73
xy31c3.tiff,31,2,1730,768,2118,172.26702730475878,59.18908077443965,45.63304098682303,0.8968741377392805,1.2970663250676429,4.0,2.33
xy31c3.tiff,31,3,425,839,2303,190.36753236814712,74.65765010349509,39.67197248926098,0.7985792862321752,1.8818739129672613,8.0,3.36
xy31c3.tiff,31,4,1986,1175,2143,183.5391052434009,71.90854846410016,38.09388509256178,0.7994196418030709,1.8876664401484493,4.0,2.67
xy31c3.tiff,31,5,1502,1326,2385,188.85281374238568,70.67756875262819,43.098345197347506,0.8403328240559015,1.6399137467806542,8.0,3.05
xy31c3.tiff,31,6,1176,1635,1967,168.2670273047588,60.89657325890007,41.16156355839361,0.8730038908658261,1.4794523821358123,10.0,2.46
xy32c3.tiff,32,1,1036,199,2520,198.99494936611669,76.39563566140667,42.06995794913208,0.7996985289162231,1.815918992687816,2.0,2.27
xy32c3.tiff,32,2,107,471,2501,200.68733752154168,69.16036500665324,46.2377816615337,0.7803395397594347,1.4957543922179417,2.0,3.03
xy32c3.tiff,32,3,634,1546,2264,181.58073580374355,66.20064919078433,43.59062857421297,0.86287272884872,1.5186899422218203,3.0,1.97
xy32c3.tiff,32,4,1665,1692,2336,189.78174593052026,72.5203420906487,41.10172914504946,0.8150304360353766,1.7644109773270569,2.0,1.98
xy32c3.tiff,32,5,905,1771,2290,183.92388155425118,66.74285114808836,43.946638131028564,0.8506856342606773,1.5187248441869892,2.0,2.24
xy32c3.tiff,32,6,1562,1986,2080,172.85281374238568,60.0098197057464,44.35302285658719,0.8748232002936716,1.353004053405436,9.0,2.03
xy33c3.tiff,33,1,753,214,2957,521.1452736853106,231.0197265701113,25.15646781985569,0.1368181083675488,9.183313342096868,2.0,8.27
xy33c3.tiff,33,2,1595,471,25847,1349.532142037214,412.82622044026084,102.23209200430323,0.1783419625467897,4.0381274837150345,3.0,10.48
xy33c3.tiff,33,3,1188,649,10139,508.28636328851496,153.68216524970958,87.56624094865955,0.4931602573662101,1.7550389691823602,1.0,6.26
xy33c3.tiff,33,4,1876,725,3653,262.83556979968256,82.26081695813886,57.6894870197885,0.6644942993205251,1.4259238763888118,2.0,4.46
xy33c3.tiff,33,5,1402,996,8448,557.3635277547903,174.90411452786842,65.6792481915665,0.3417328090705615,2.6630042112803443,2.0,8.99
xy33c3.tiff,33,6,390,1078,2725,449.71782079359116,208.55573049334592,24.882996132907817,0.16931528874474547,8.381455729020129,1.0,6.14
xy33c3.tiff,33,7,1272,1048,2111,332.5807358037436,149.85578049487697,21.56693182298524,0.23983022655323136,6.94840516605919,3.0,8.16
xy33c3.tiff,33,8,548,1103,14061,594.7777413171634,157.72145164713,117.77963238638344,0.4994783376251671,1.3391233140354428,1.0,8.66
xy34c3.tiff,34,1,1513,1203,2309,184.16652224137047,65.95858658950017,44.72196035525277,0.8554850468001581,1.4748590192726887,3.0,1.86
xy35c3.tiff,35,1,2327,244,2117,189.78174593052017,71.2588534547293,38.31507251512193,0.7386213326570604,1.859812569233828,5.0,4.21
xy35c3.tiff,35,2,780,538,2009,172.61017305526642,61.905133122597704,41.57538684169104,0.8473386662370496,1.4889851382097152,2.0,2.45
xy35c3.tiff,35,3,354,1312,2231,193.4386001800126,77.88193790026773,36.65455218315566,0.7492437913041279,2.124754860217821,10.0,2.97
xy35c3.tiff,35,4,1204,1375,2802,198.75230867899742,68.78739783577014,51.92336150847646,0.8913610051444639,1.32478706765818,10.0,1.92
xy35c3.tiff,35,5,653,1444,2584,195.1959594928933,73.54565788831701,44.84630026538047,0.8522376688368987,1.6399492812808747,6.0,4.16
xy36c3.tiff,36,1,711,535,2569,191.58073580374355,67.07607830226779,48.7805080665489,0.8795697696003282,1.3750590340461215,10.0,2.94
xy36c3.tiff,36,2,455,556,2393,198.37362902255703,60.734810638945504,50.637146270490206,0.7641606777866156,1.19941219267208,7.0,5.09
xy36c3.tiff,36,3,859,830,2441,196.06601717798213,76.27179440636795,40.957213899794134,0.7979450589402824,1.862231024624244,10.0,3.52
xy36c3.tiff,36,4,1490,1020,3319,239.27922061357856,89.84733844970259,47.973694225633146,0.7284624087916091,1.8728459398420816,3.0,3.76
xy36c3.tiff,36,5,451,1656,2473,197.095454429505,75.35587862105906,41.99294148551878,0.7999830102042457,1.7944891678294421,10.0,3.19
xy36c3.tiff,36,6,2391,1950,2494,196.99494936611663,76.25040459688141,41.916806833189824,0.8075996643655088,1.8190890565763744,8.0,2.85
